pic_id,Views,tag,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model,latitude,longitude,county,region,country
52174521170,320.0,sri lanka,NIKON CORPORATION,NIKON D7100,11.0,Not Defined,200.0,Multi-segment,"Off, Did not fire",24.0,Uncalibrated,,8.614831,81.21849,Trincomalee District,Eastern Province,Sri Lanka
52168220710,407.0,sri lanka,Canon,Canon PowerShot SX730 HS,5.6,Not Defined,400.0,Multi-segment,"Off, Did not fire",28.1,sRGB,,8.164834,80.91053,Polonnaruwa District,North Central Province,Sri Lanka
52165556729,461.0,sri lanka,NIKON,COOLPIX S9900,6.4,Program AE,125.0,Spot,"Off, Did not fire",270.0,sRGB,,8.149983,80.904633,Polonnaruwa District,North Central Province,Sri Lanka
52163097059,2835.0,sri lanka,SONY,ILCA-77M2,5.0,Program AE,100.0,Multi-segment,"Auto, Did not fire",100.0,sRGB,MACRO 100mm F2.8,52.14008,5.727538,Gemeente Ede,Provincie Gelderland,Holland
52151259515,9087.0,sri lanka,Canon,Canon EOS 6D,5.6,Program AE,800.0,Multi-segment,"Off, Did not fire",105.0,sRGB,MACRO 100mm F2.8,7.224555,79.839472,Gemeente Ede,Western Province,Sri Lanka
52121906734,680.0,sri lanka,NIKON,COOLPIX S9900,6.4,Program AE,125.0,Center-weighted average,"Off, Did not fire",112.2,sRGB,MACRO 100mm F2.8,8.150083,80.906083,Polonnaruwa District,North Central Province,Sri Lanka
52049105550,661.0,sri lanka,HUAWEI,CLT-L04,5.0,Manual,3200.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0,9.773039,80.276412,Jaffna District,Northern Province,Sri Lanka
52035787124,369.0,sri lanka,Canon,Canon EOS 90D,10.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,18.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.249475,80.791654,Mullaitivu District,Northern Province,Sri Lanka
52032917740,1098.0,sri lanka,Canon,Canon EOS 7D,9.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,6.192139,81.240077,Hambantota District,Southern Province,Sri Lanka
52028693133,903.0,sri lanka,Canon,Canon EOS 7D,5.6,Aperture-priority AE,2000.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52026393994,434.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF300mm f/4L IS USM +1.4x,9.831503,80.199959,Ratnapura District,Northern Province,Sri Lanka
52022847811,1222.0,sri lanka,Canon,Canon EOS 7D,8.0,Aperture-priority AE,6400.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52021576618,2045.0,sri lanka,Canon,Canon EOS 7D,5.6,Shutter speed priority AE,2000.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52011765420,16570.0,sri lanka,Canon,Canon EOS 7D,5.6,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,7.00328,80.410328,Kegalle District,Sabaragamuwa Province,Sri Lanka
52010222407,924.0,sri lanka,Canon,Canon EOS 7D,6.3,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,7.278016,79.847259,Puttalam District,North Western Province,Sri Lanka
52011303798,659.0,sri lanka,Canon,Canon EOS 7D,5.6,Aperture-priority AE,2000.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x,6.450411,80.819549,Ratnapura District,Sabaragamuwa Province,Sri Lanka
52006199104,694.0,sri lanka,Canon,Canon EOS 90D,5.6,Shutter speed priority AE,1000.0,Center-weighted average,No Flash,250.0,sRGB,EF-S55-250mm f/4-5.6 IS II,9.765456,79.942574,Jaffna District,Northern Province,Sri Lanka
51995173734,1047.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF-S55-250mm f/4-5.6 IS II,9.831503,80.199959,Turin,Northern Province,Sri Lanka
51992728206,6458.0,sri lanka,Canon,Canon EOS 90D,11.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,55.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.825008,80.170218,Jaffna District,Northern Province,Sri Lanka
51990557338,1364.0,sri lanka,Leica Camera AG,M8 Digital Camera,3.4,Aperture-priority AE,160.0,Center-weighted average,"Auto, Did not fire",50.0,sRGB,"Leica Summicron-M 50mm f/2 (IV, V)",7.952391,80.760626,Matale District,Central Province,Sri Lanka
51987787017,1730.0,sri lanka,Leica Camera AG,M8 Digital Camera,8.0,Aperture-priority AE,160.0,Center-weighted average,"Auto, Did not fire",28.0,sRGB,Leica Summicron-M 28mm f/2 ASPH.,6.933243,79.851036,Colombo District,Western Province,Sri Lanka
51989255990,690.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,Leica Summicron-M 28mm f/2 ASPH.,9.773039,80.276412,Jaffna District,Northern Province,Sri Lanka
51983776004,1664.0,sri lanka,Leica Camera AG,M8 Digital Camera,4.8,Aperture-priority AE,640.0,Center-weighted average,"Auto, Did not fire",28.0,sRGB,Leica Summicron-M 28mm f/2 ASPH.,7.285849,79.856357,Puttalam District,North Western Province,Sri Lanka
51961378852,466.0,sri lanka,Canon,Canon EOS 90D,9.0,Aperture-priority AE,125.0,Center-weighted average,No Flash,55.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.662616,80.004994,Jaffna District,Northern Province,Sri Lanka
51961365899,721.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.831503,80.199959,Jaffna District,Northern Province,Sri Lanka
51959931856,2251.0,sri lanka,NIKON CORPORATION,NIKON D5600,6.3,Manual,400.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,EF-S18-55mm f/3.5-5.6 IS II,5.999685,80.750727,Hambantota District,Southern Province,Sri Lanka
51955041965,415.0,sri lanka,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,Uncalibrated,EF-S18-55mm f/3.5-5.6 IS II,7.029864,79.921438,Gampaha District,Western Province,Sri Lanka
51953824988,2460.0,sri lanka,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,Uncalibrated,EF-S18-55mm f/3.5-5.6 IS II,5.999621,80.749762,Hambantota District,Southern Province,Sri Lanka
51948909703,3396.0,sri lanka,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,Uncalibrated,EF-S18-55mm f/3.5-5.6 IS II,6.901332,79.853096,Colombo District,Western Province,Sri Lanka
51948909703,3396.0,sri lanka,Canon,Canon EOS DIGITAL REBEL XSi,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,17.0-50.0 mm f/2.8,6.901332,79.853096,Colombo District,Western Province,Sri Lanka
51945530206,917.0,sri lanka,Canon,Canon IXUS 145,3.2,Manual,200.0,Multi-segment,"Auto, Did not fire",5.7,sRGB,EF-S18-55mm f/3.5-5.6 IS II,9.825008,80.170218,Jaffna District,Northern Province,Sri Lanka
51945530206,917.0,sri lanka,Canon,Canon EOS DIGITAL REBEL XSi,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,17.0-50.0 mm f/2.8,9.825008,80.170218,Jaffna District,Northern Province,Sri Lanka
6325785041,3713.0,sri lanka,NIKON CORPORATION,NIKON D90,4.0,Aperture-priority AE,250.0,Multi-segment,No Flash,46.0,Uncalibrated,17.0-50.0 mm f/2.8,6.939186,79.854211,Colombo,Western,Sri Lanka
51944935848,2612.0,sri lanka,NIKON CORPORATION,NIKON D5600,5.6,Manual,400.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,XF18-135mmF3.5-5.6R LM OIS WR,5.998269,80.74854,Hambantota District,Southern Province,Sri Lanka
51941404516,2822.0,sri lanka,NIKON CORPORATION,NIKON D5600,7.1,Aperture-priority AE,200.0,Multi-segment,"Off, Did not fire",300.0,sRGB,XF18-135mmF3.5-5.6R LM OIS WR,6.474291,80.854339,Hambantota District,Province of Uva,Sri Lanka
51938553707,1023.0,sri lanka,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF16-35mm f/4L IS USM,7.245379,79.840961,Gampaha District,Western Province,Sri Lanka
51935941485,2487.0,sri lanka,NIKON CORPORATION,NIKON D5600,6.3,Manual,400.0,Multi-segment,"Off, Did not fire",155.0,sRGB,70.0-300.0 mm f/4.0-5.6,5.999191,80.749516,Hambantota District,Southern Province,Sri Lanka
51930906747,742.0,sri lanka,HUAWEI,CLT-L04,2.0,Program AE,25.0,Multi-segment,"Off, Did not fire",6.0,sRGB,iPhone 12 Pro back triple camera 6mm f/2,7.245379,79.840961,Gampaha District,Western Province,Sri Lanka
51926788722,3587.0,sri lanka,samsung,SM-A526B,1.8,Program AE,25.0,Center-weighted average,No Flash,5.2,sRGB,EF100-400mm f/4.5-5.6L IS II USM,6.002243,80.75223,Hambantota District,Southern Province,Sri Lanka
51923569473,2191.0,sri lanka,NIKON CORPORATION,NIKON D5600,7.1,Manual,200.0,Multi-segment,"Off, Did not fire",18.0,sRGB,EF16-35mm f/4L IS USM,5.999191,80.749516,Hambantota District,Southern Province,Sri Lanka
51920956524,1542.0,sri lanka,Canon,Canon EOS 90D,6.3,Shutter speed priority AE,320.0,Center-weighted average,No Flash,240.0,sRGB,EF-S55-250mm f/4-5.6 IS II,9.826044,80.200699,Jaffna District,Northern Province,Sri Lanka
51916201112,1820.0,sri lanka,FUJIFILM,X-T1,5.6,Program AE,200.0,Multi-segment,"Off, Did not fire",24.3,sRGB,XF18-55mmF2.8-4 R LM OIS,7.951184,80.998077,Polonnaruwa District,North Central Province,Sri Lanka
