pic_id,Camera_Make,Camera_Model,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
52189774772,NIKON,COOLPIX P900,5.0,Program AE,160.0,Multi-segment,"Off, Did not fire",98.1,sRGB,
52174521170,NIKON CORPORATION,NIKON D7100,11.0,Not Defined,200.0,Multi-segment,"Off, Did not fire",24.0,Uncalibrated,
52168220710,Canon,Canon PowerShot SX730 HS,5.6,Not Defined,400.0,Multi-segment,"Off, Did not fire",28.1,sRGB,
52165556729,NIKON,COOLPIX S9900,6.4,Program AE,125.0,Spot,"Off, Did not fire",270.0,sRGB,
52163097059,SONY,ILCA-77M2,5.0,Program AE,100.0,Multi-segment,"Auto, Did not fire",100.0,sRGB,MACRO 100mm F2.8
52151259515,Canon,Canon EOS 6D,5.6,Program AE,800.0,Multi-segment,"Off, Did not fire",105.0,sRGB,MACRO 100mm F2.8
52139999359,Canon,Canon EOS 6D,5.6,Program AE,800.0,Multi-segment,"Off, Did not fire",105.0,sRGB,MACRO 100mm F2.8
52125732133,Panasonic,DMC-FZ200,4.5,Manual,200.0,Spot,"Off, Did not fire",108.0,sRGB,MACRO 100mm F2.8
52121906734,NIKON,COOLPIX S9900,6.4,Program AE,125.0,Center-weighted average,"Off, Did not fire",112.2,sRGB,MACRO 100mm F2.8
52121404023,NIKON CORPORATION,NIKON D850,5.0,Manual,450.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0
52114499159,vivo,V2025,2.0,Program AE,50.0,Center-weighted average,"Off, Did not fire",5.4,sRGB,600.0 mm f/4.0
52111428485,NIKON CORPORATION,NIKON D850,5.0,Manual,3200.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0
52049105550,HUAWEI,CLT-L04,5.0,Manual,3200.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0
52046258887,HUAWEI,CLT-L04,5.0,Manual,3200.0,Spot,No Flash,600.0,sRGB,600.0 mm f/4.0
52035787124,Canon,Canon EOS 90D,10.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,18.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
52032917740,Canon,Canon EOS 7D,9.0,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52028693133,Canon,Canon EOS 7D,5.6,Aperture-priority AE,2000.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52026393994,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF300mm f/4L IS USM +1.4x
52022847811,Canon,Canon EOS 7D,8.0,Aperture-priority AE,6400.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52021576618,Canon,Canon EOS 7D,5.6,Shutter speed priority AE,2000.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52015963849,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF300mm f/4L IS USM +1.4x
52011765420,Canon,Canon EOS 7D,5.6,Aperture-priority AE,400.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52010222407,Canon,Canon EOS 7D,6.3,Aperture-priority AE,800.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52011303798,Canon,Canon EOS 7D,5.6,Aperture-priority AE,2000.0,Multi-segment,"Off, Did not fire",420.0,sRGB,EF300mm f/4L IS USM +1.4x
52009705947,Apple,iPhone XR,1.8,Program AE,32.0,Multi-segment,"Off, Did not fire",4.2,sRGB,iPhone XR back camera 4.25mm f/1.8
52006199104,Canon,Canon EOS 90D,5.6,Shutter speed priority AE,1000.0,Center-weighted average,No Flash,250.0,sRGB,EF-S55-250mm f/4-5.6 IS II
51995173734,HUAWEI,CLT-L04,1.8,Program AE,50.0,Multi-segment,No Flash,5.6,sRGB,EF-S55-250mm f/4-5.6 IS II
51992728206,Canon,Canon EOS 90D,11.0,Aperture-priority AE,100.0,Center-weighted average,No Flash,55.0,sRGB,EF-S18-55mm f/3.5-5.6 IS II
